Timestamp,Open,High,Low,Close,Volume,HL,Pressure,PV,PPrice1,PColor1,PPrice2,PColor2,Direction,Diff
2003-11-01,1.6955,1.7247,1.6566,1.7217,207120.0,5509.999999999992,21.30632582322358,-19.607099305864175,1.6955,3.0,1.6955,3.0,3.0,1.6955
2003-12-01,1.7215,1.7946,1.7167,1.7859,221401.0,6809.999999999982,37.58983666061712,16.283510837393536,1.7215,0.0,1.7215,3.0,3.0,1.7215
2004-01-01,1.7858,1.8584,1.7786,1.8247,247089.0,7790.000000000007,32.51116005873724,-5.078676601879877,1.7858,0.0,1.7858,3.0,3.0,1.7858
2004-02-01,1.8243,1.9143,1.8137,1.868,241203.0,7980.000000000009,31.718741976893423,-0.7924180818438167,1.8243,0.0,1.8243,3.0,3.0,1.8243
2004-03-01,1.8672,1.8752,1.7906,1.8462,283624.0,10059.99999999998,30.225939849624027,-1.492802127269396,1.8672,0.0,1.8672,3.0,3.0,1.8672
2004-04-01,1.8463,1.8608,1.7579,1.7788,272079.0,8460.0,28.193240556660097,-2.0326992929639296,1.8463,3.0,1.8463,1.0,1.0,1.8463
2004-05-01,1.7795,1.8427,1.748,1.8333,305601.0,10289.999999999998,32.16063829787234,3.967397741212242,1.7795,3.0,1.7795,4.0,4.0,1.7795
2004-06-01,1.8328,1.8492,1.8011,1.8196,315012.0,9470.0,29.698833819241987,-2.461804478630352,1.8328,3.0,1.8328,2.0,2.0,1.8328
2004-07-01,1.8195,1.8776,1.8083,1.8197,296416.0,4810.000000000003,33.264202745512144,3.565368926270157,1.8195,3.0,1.8195,1.0,1.0,1.8195
2004-08-01,1.8233,1.8469,1.7854,1.8026,285104.0,6929.999999999991,61.62494802494799,28.360745279435847,1.8233,3.0,1.8233,2.0,2.0,1.8233
2004-09-01,1.8029,1.8166,1.7708,1.8118,221267.0,6149.999999999988,41.14054834054839,-20.484399684399598,1.8029,0.0,1.8029,2.0,2.0,1.8029
2004-10-01,1.8119,1.8451,1.7745,1.8378,206210.0,4580.000000000006,35.97837398373991,-5.162174356808485,1.8119,0.0,1.8119,2.0,2.0,1.8119
2004-11-01,1.839,1.9134,1.8297,1.9093,223531.0,7059.999999999999,45.02401746724885,9.04564348350894,1.839,3.0,1.839,3.0,3.0,1.839
